SEGMENT,RESTAURANT_COUNT
120876599_E_2,0.0
28401314_E_2,0.0
1192902870_W_2,0.0
1198853024_E_2,0.0
28401408_S_2,0.0
836014401_E_2,0.0
973169900_NW_2,0.0
1026393655_S_2,0.0
28401478_SW_2,0.0
28401480_E_2,0.0
28401479_NE_2,0.0
28401478_NE_2,0.0
28401481_SE_2,0.0
28401477_W_2,0.0
28401480_W_2,0.0
28401481_NW_2,0.0
28401509_NE_2,0.0
28401483_SE_2,0.0
127803477_W_2,0.0
28401489_W_2,0.0
28401490_SE_2,0.0
28401495_NW_2,0.0
28401502_SW_2,0.0
28401501_N_2,0.0
28401503_SE_2,0.0
28401509_SW_2,0.0
28401485_NE_2,0.0
28401510_E_2,0.0
28401498_E_2,0.0
28401499_S_2,0.0
1007125426_W_2,0.0
28401502_NE_2,0.0
28401498_W_2,0.0
28401487_NW_2,0.0
28401497_SE_2,0.0
28401487_SE_2,0.0
28401492_N_2,0.0
28401493_W_2,0.0
28401489_E_2,0.0
28401488_S_2,0.0
28401494_W_2,0.0
28401490_NW_2,0.0
28401501_S_2,0.0
28401504_E_2,0.0
28401492_S_2,0.0
28401488_N_2,0.0
28401491_E_2,0.0
28401491_W_2,0.0
28401493_E_2,0.0
28401494_E_2,0.0
28401483_NW_2,0.0
28401495_SE_2,0.0
28401496_W_2,0.0
28401496_E_2,0.0
28401497_NW_2,0.0
28401499_N_2,0.0
28401503_NW_2,0.0
28401507_SE_2,0.0
28401506_NE_2,0.0
28401507_NW_2,0.0
28401504_W_2,0.0
28401500_E_2,0.0
28401505_S_2,0.0
28401500_W_2,0.0
28493042_NE_2,0.0
28493043_S_2,0.0
28401506_SW_2,0.0
28401505_N_2,0.0
28401508_E_2,0.0
28401508_W_2,0.0
28401513_W_2,0.0
28401511_SW_2,0.0
28440595_E_2,0.0
28401513_E_2,0.0
28401514_S_2,0.0
28401515_W_2,0.0
28401514_N_2,0.0
28401485_SW_2,0.0
28401515_E_2,0.0
28401516_SE_2,0.0
936161185_N_2,0.0
28401510_W_2,0.0
28401511_NE_2,0.0
28401516_NW_2,0.0
28404190_S_2,0.0
28404189_N_2,0.0
28404188_E_2,0.0
1219383532_W_2,0.0
28401680_SE_2,0.0
1131008949_SE_2,0.0
120894035_W_2,0.0
120894280_N_2,0.0
887851148_S_2,0.0
28401811_SW_2,0.0
28401828_W_2,0.0
28401817_N_2,0.0
28401811_NE_2,0.0
28401830_S_2,0.0
28401831_N_2,0.0
28401830_N_2,0.0
28401812_E_2,0.0
28401825_S_2,0.0
28401812_W_2,0.0
28401813_S_2,0.0
28401815_SW_2,0.0
28401813_N_2,0.0
28401814_W_2,0.0
28401815_NE_2,0.0
28401814_E_2,0.0
28401816_S_2,0.0
28401816_N_2,0.0
28401828_E_2,0.0
28401831_S_2,0.0
28401829_W_2,0.0
28401829_E_2,0.0
